Median Age,Smoking history,Current drinker,Obesity,Hypertension,Diabetes,Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,Chronic kidney/renal disease,Other,Mortality
57,0,0,0,12,2,2,2,0,0,1,0,0,0
60,0,0,0,14,8,7,0,0,0,0,0,0,0
59,0,0,0,10,6,5,0,0,0,0,0,0,0
63,0,0,0,4,2,2,0,0,0,0,0,0,0
56,0,0,0,10,5,5,0,0,0,0,0,0,0
62,0,0,0,5,3,2,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,3,0,1,0,0,0,1,0,0,0
46,0,0,0,1,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,1,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,1,0,0,0,1,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,1,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,1,0,0,0,0
32,0,0,0,0,0,0,0,0,1,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,1,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,3,2,4,1,0,0,0,2,0,0
65,0,0,0,1,0,1,0,0,0,0,0,0,0
66,0,0,0,1,0,1,0,0,0,0,0,0,0
62,0,0,0,0,0,1,0,0,0,0,1,0,0
63,0,0,0,0,0,0,1,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,1,0,0,0,0,0,0,0,0
72,0,0,0,1,0,1,0,0,0,0,1,0,0
56,0,0,0,0,1,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,86,46,34,17,9,11,23,6,0,0
66,0,0,0,23,12,10,6,3,1,9,3,0,0
60,0,0,0,65,32,23,9,5,9,19,2,0,0
51,877,0,1102,983,615,366,311,186,0,0,217,739,0
41,358,0,305,242,112,44,105,42,0,0,21,221,0
62,520,0,798,742,504,322,206,144,0,0,196,518,0
58,510,0,812,686,458,270,196,116,0,0,174,482,0
67,173,0,260,257,176,134,71,56,0,0,75,173,0
