ID,Country,Province/State,Study Pop Size (N),Positive/negative cases,Mean Age,% Male,% White or European,% African American,% Asian,% Hispanic or Latino,% Multiple ethnicities or other,Smoking history,"Hypertension,Diabetes", Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,"Chronic kidney/renal disease,Other",Fever (temperature ≥37·3°C),Respiratory rate > 24 breaths per min,Cough,Shortness of Breath (dyspnoea),"Headache,Sputum (/Expectoration)",Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or Vomiting,Loss of Appetite/Anorexia, Sore Throat/Stuffy Nose,Chills,Chest Pain,Loss of smell/taste,Disease Severity Asymptomatic,Mortality
17.0,China,Wuhan,99,Positive only,55.5,68%,0%,0%,100%,0%,0%,,,,1%,1%,,,,83%,,82%,31%,,11%,,,2%,1%,,,,,,,0.11
19.0,China,Wuhan,138,Positive only,56.0,54.30%,0%,0%,100%,0%,0%,,,,2.90%,7.20%,2.90%,5.10%,,98.60%,,59.40%,31.20%,,34.80%,69.60%,,10.10%,10.10%,39.90%,,,,,0%,0.04
19.0,China,Wuhan,36,Positive only,66.0,61.10%,0%,0%,100%,0%,0%,,,,8.30%,11.10%,0.00%,16.70%,,100.00%,,58.30%,63.90%,,33.30%,80.60%,,16.70%,11.10%,66.70%,,,,,0%,0.17
19.0,China,Wuhan,102,Positive only,51.0,52%,0%,0%,100%,0%,0%,,,,1%,5.90%,4%,1%,,98.00%,,59.80%,19.60%,,35.30%,65.70%,,7.80%,9.80%,30.40%,,,,,0%,0
20.0,China,Beijing,13,Positive only,,77%,0%,0%,100%,0%,0%,,,,,,,,,92.31%,,46.30%,,,23.10%,,61.50%,7.70%,,,,,,,,0
22.0,China,Northeast Chongqing,135,Positive only,,53.40%,0%,0%,100%,0%,0%,6.70%,,,0%,3%,1.50%,,,88.90%,,76.50%,13.30%,,32.50%,32.50%,,13.30%,3%,,,,,,,0.01
22.0,China,Northeast Chongqing,95,Positive only,,54.70%,0%,0%,100%,0%,0%,8.40%,,,0%,1%,1%,,,90.10%,,70.50%,9.50%,,26.30%,26.30%,,5.30%,4.20%,,,,,,,0
22.0,China,Northeast Chongqing,40,Positive only,,52.50%,0%,0%,100%,0%,0%,2.50%,,,10%,7.50%,2.50%,,,85.00%,,87.50%,18.90%,,47.50%,47.50%,,32.50%,0%,,,,,,,0.03
23.0,China,Wuhan,17,Positive only,45.1,53%,0%,0%,100%,0%,0%,18%,,,0%,0%,,,,71%,,77%,,,24%,47%,,12%,,,,,,,,0
23.0,China,Wuhan,5,Positive only,34.8,80%,0%,0%,100%,0%,0%,40%,,,0%,0%,,,,80%,,60%,,,60%,60%,,0%,,,,,,,,0
23.0,China,Wuhan,12,Positive only,49.4,41.70%,0%,0%,100%,0%,0%,8.30%,,,0%,0%,,,,66.70%,,83.30%,,,16.70%,41.70%,,16.70%,,,,,,,,0
24.0,China,Wuhan,48,Positive and Negative/Unconfirmed,70.58,68.70%,0%,0%,100%,0%,0%,,,,,,,,,70.80%,,,,,,,,,,,,,,,,0.35
24.0,China,Wuhan,17,Positive only,78.61,70.60%,0%,0%,100%,0%,0%,,,,,,,,,70.60%,,,,,,,,,,,,,,,,1
24.0,China,Wuhan,31,Positive and Negative/Unconfirmed,66.16,67.70%,0%,0%,100%,0%,0%,,,,,,,,,71.00%,,,,,,,,,,,,,,,,0
25.0,USA,Washington,21,Positive only,70.0,52%,,,,,,,,,33.30%,,,,,52%,,48%,76%,,,,,,,,,,,,,0.67
26.0,Singapore,Singapore,18,Positive only,,50%,0%,0%,100%,0%,0%,,,,,,,,,72%,,83%,11%,,,,,17.00%,22.20%,,,,,,,0
26.0,Singapore,Singapore,12,Positive only,,58%,0%,0%,100%,0%,0%,,,,,,,,,58%,,83%,8%,,,,,25.00%,,,,,,,,0
26.0,Singapore,Singapore,6,Positive only,,33%,0%,0%,100%,0%,0%,,,,,,,,,100%,,83%,17%,,,,,0.00%,,,,,,,,0
27.0,Italy,Nationwide,355,Positive only,79.5,70%,100%,0%,0%,0%,0%,,,,24.50%,20.30%,,,,,,,,,,,,,,,,,,,0%,1
28.0,China,Wuhan,201,Positive only,,63.70%,0%,0%,100%,0%,0%,,,,2.50%,0.50%,4%,,,93.50%,,81.10%,,,32.30%,32.30%,,,,,,,,,,0.22
28.0,China,Wuhan,84,Positive only,,71.40%,0%,0%,100%,0%,0%,,,,,,,,,92.90%,,81%,,,32.10%,32.10%,,,,,,,,,,0.52
28.0,China,Wuhan,117,Positive only,,58.10%,0%,0%,100%,0%,0%,,,,,,,,,94.00%,,82.20%,,,32.50%,32.50%,,,,,,,,,,0
32.0,China,Beijing,262,Positive only,,48.50%,0%,0%,100%,0%,0%,,,,,,,,,82.10%,,45.80%,6.90%,,,26.30%,,,,,,,,,,0.01
32.0,China,Beijing,46,Positive only,,56.50%,0%,0%,100%,0%,0%,,,,,,,,,80.40%,,54.30%,32.60%,,,32.60%,,,,,,,,,,0.07
32.0,China,Beijing,216,Positive only,,46.80%,0%,0%,100%,0%,0%,,,,,,,,,82.40%,,44.00%,1.40%,,,25.00%,,,,,,,,,,0
35.0,China,Anhui,6,Positive only,29.2,50%,0%,0%,100%,0%,0%,,,,,,,,,83%,,67%,,,,67%,,,,0,,,,,,0
35.0,China,Anhui,43,Positive only,33.4,65%,0%,0%,100%,0%,0%,,,,,,,,,93%,,84%,,,,72%,,,,19%,,,,,,0
35.0,China,Anhui,21,Positive only,44.2,48%,0%,0%,100%,0%,0%,,,,,,,,,95%,,86%,,,,81%,,,,43%,,,,,,0
35.0,China,Anhui,3,Positive only,63.0,0%,0%,0%,100%,0%,0%,,,,,,,,,100%,,67%,,,,100%,,,,100%,,,,,,0
37.0,China,Beijing,9,Positive only,,78%,0%,0%,100%,0%,0%,,,,,,,,,67%,,33%,,,0%,,,,,,,,,,,0
